user_id,Pizza_ordered,Burger_ordered,Pasta_ordered,Pizza_available,Burger_available,Pasta_available,Samosa_ordered,Samosa_available,Kachori_ordered,Kachori_available,Vadapav_ordered,Vadapav_available,Dosa_ordered,Dosa_available,Noodles_ordered,Noodles_available,Maggie_ordered,Maggie_available,target
30,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1
33,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1
34,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0
35,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1
36,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0
37,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0
38,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1
39,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1
40,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1
41,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1
42,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
43,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1
44,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0
45,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1
46,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1
47,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
48,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0
49,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
50,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
51,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1
52,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0
53,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
54,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1
55,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0
56,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
57,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1
58,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
59,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1
60,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
61,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0
62,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
63,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
64,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
65,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
66,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1
67,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1
68,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0
69,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
70,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0
71,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1
72,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1
73,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1
74,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0
75,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
76,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
77,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0
78,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0
79,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1
80,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1
81,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
82,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0
83,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
84,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1
85,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1
86,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
87,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1
88,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0
89,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1
90,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
91,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
92,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1
93,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1
94,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1
95,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0
96,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
97,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1
98,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0
99,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1
100,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
101,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1
102,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1
103,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1
104,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1
105,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1
106,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
107,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
108,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1
109,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1
110,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
111,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1
112,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1
113,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0
114,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1
115,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1
116,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1
117,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0
118,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1
119,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
120,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0
121,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
122,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1
123,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1
124,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0
125,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0
126,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1
127,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1
128,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1
129,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1
130,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1
131,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1
132,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0
133,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
134,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1
135,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1
136,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1
137,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0
138,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1
139,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0
140,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
141,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1
142,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0
143,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1
144,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1
145,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
146,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0
147,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1
148,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1
149,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1
150,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
151,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1
152,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1
153,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0
154,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0
155,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1
156,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1
157,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
158,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
159,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0
160,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
161,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1
162,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1
163,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1
164,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1
165,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1
166,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1
167,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1
168,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1
169,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0
170,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1
171,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
172,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1
173,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
174,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1
175,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
176,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
177,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
178,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
179,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
180,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
181,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1
182,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0
183,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
184,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1
185,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1
186,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1
187,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1
188,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0
189,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1
190,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1
191,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
193,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1
194,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1
195,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
196,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0
197,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1
198,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
199,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
200,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
201,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0
202,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0
203,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1
204,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1
205,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1
206,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1
207,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1
208,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1
209,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1
210,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1
211,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0
212,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1
213,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1
214,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0
215,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
216,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
217,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1
218,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0
219,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1
220,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
221,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
222,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
223,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1
224,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1
225,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
226,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1
227,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1
228,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1
229,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1
230,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1
231,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1
232,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1
233,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
234,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1
235,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1
236,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1
237,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1
238,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0
239,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0
240,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1
241,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0
242,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0
243,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1
244,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1
245,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
246,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1
247,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1
248,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0
249,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
250,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1
251,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0
252,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1
253,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1
254,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1
255,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1
256,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
257,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1
258,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0
259,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1
260,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1
261,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
262,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0
263,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
264,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1
265,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1
266,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1
267,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1
268,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
269,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0
270,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1
271,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1
272,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1
273,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1
274,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1
275,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1
276,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1
277,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
278,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1
279,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
280,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1
281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
282,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
283,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
284,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1
285,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1
286,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1
287,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1
288,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
289,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1
290,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
291,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0
292,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0
293,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0
294,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1
295,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1
296,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1
297,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
298,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1
299,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
300,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
301,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1
302,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
303,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1
304,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1
305,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1
306,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
307,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
308,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1
309,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1
310,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1
311,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
312,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0
313,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1
314,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1
315,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0
316,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0
317,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
318,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1
319,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0
320,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1
321,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1
322,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0
323,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1
324,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1
325,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
326,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1
327,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0
328,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
329,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1
330,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
331,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
333,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1
334,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
335,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1
336,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1
337,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
338,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1
339,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1
340,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
341,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0
342,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1
